               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.019921,           0.0048669,           0.0022003,             0.94572,             0.92108,             0.96251,             0.74534,            0.018463,           0.0058339,           0.0032562,            0.002377,            0.002377,            0.002377
                  79,            0.019033,           0.0048945,           0.0018008,             0.95039,             0.92526,             0.96499,             0.75961,            0.018569,           0.0056571,           0.0028722,            0.002278,            0.002278,            0.002278
                  80,            0.018463,           0.0047632,           0.0017985,             0.94557,             0.91468,             0.96339,             0.75927,            0.018572,           0.0056931,           0.0028486,            0.002179,            0.002179,            0.002179
                  81,            0.018318,           0.0046072,           0.0017183,             0.95253,             0.92304,             0.96446,             0.75077,            0.017375,           0.0056302,           0.0028886,             0.00208,             0.00208,             0.00208
                  82,            0.017973,           0.0048567,           0.0018084,              0.9548,             0.92182,             0.96405,             0.75249,            0.017972,           0.0056332,           0.0027001,            0.001981,            0.001981,            0.001981
                  83,            0.018296,             0.00468,            0.001745,             0.94361,             0.92469,             0.96384,             0.76761,            0.017205,           0.0055834,           0.0026556,            0.001882,            0.001882,            0.001882
                  84,            0.017417,           0.0047163,            0.001776,             0.94152,             0.92477,             0.96405,             0.76526,            0.017586,           0.0055748,            0.002578,            0.001783,            0.001783,            0.001783
                  85,            0.017351,            0.004917,           0.0016099,             0.93877,             0.92746,             0.96474,              0.7578,            0.017935,           0.0056099,           0.0024707,            0.001684,            0.001684,            0.001684
                  86,            0.017322,           0.0047008,            0.001548,             0.93972,              0.9265,             0.96282,             0.75012,            0.017489,           0.0056277,            0.002499,            0.001585,            0.001585,            0.001585
                  87,             0.01663,           0.0045132,           0.0014826,             0.95081,             0.91995,             0.96219,             0.75328,            0.017468,           0.0057183,           0.0025705,            0.001486,            0.001486,            0.001486
                  88,            0.017213,           0.0047238,           0.0017448,             0.94768,             0.92454,             0.96259,             0.75461,            0.017659,            0.005593,            0.002508,            0.001387,            0.001387,            0.001387
                  89,            0.017286,            0.004638,            0.001615,             0.94978,             0.92684,             0.96512,             0.76296,            0.016365,           0.0054783,           0.0024621,            0.001288,            0.001288,            0.001288
                  90,            0.016534,           0.0044893,           0.0016066,             0.95541,             0.92421,             0.96637,             0.76052,            0.016495,           0.0055327,           0.0024607,            0.001189,            0.001189,            0.001189
                  91,            0.016573,            0.004525,           0.0013724,             0.95812,              0.9181,             0.96602,             0.76593,            0.017024,           0.0055242,           0.0025441,             0.00109,             0.00109,             0.00109
                  92,            0.016569,           0.0046672,           0.0015036,             0.94942,             0.92649,             0.96527,             0.76932,             0.01677,           0.0055455,           0.0025954,            0.000991,            0.000991,            0.000991
                  93,            0.015904,           0.0046664,           0.0015091,             0.95144,             0.91322,             0.96396,             0.76486,             0.01701,            0.005588,           0.0025587,            0.000892,            0.000892,            0.000892
                  94,             0.01548,           0.0045224,           0.0013358,             0.93559,              0.9178,             0.96391,             0.76953,            0.017047,           0.0055372,           0.0025155,            0.000793,            0.000793,            0.000793
                  95,             0.01644,           0.0045799,           0.0015048,             0.94355,             0.92016,              0.9649,             0.75884,            0.017351,           0.0055812,           0.0024782,            0.000694,            0.000694,            0.000694
                  96,            0.015974,           0.0043887,           0.0013868,             0.94221,             0.92393,               0.966,              0.7634,            0.016818,           0.0055542,           0.0024891,            0.000595,            0.000595,            0.000595
                  97,            0.015124,            0.004504,           0.0013256,             0.94268,             0.92118,             0.96544,             0.76816,            0.016267,           0.0055242,           0.0024885,            0.000496,            0.000496,            0.000496
                  98,            0.015068,           0.0042896,           0.0013729,             0.94628,             0.92642,             0.96599,             0.75887,            0.016539,           0.0055413,           0.0024769,            0.000397,            0.000397,            0.000397
                  99,            0.015288,           0.0045629,            0.001456,             0.93915,             0.92778,             0.96663,             0.76506,            0.016516,            0.005548,           0.0024538,            0.000298,            0.000298,            0.000298
